show,click
17,2
17,2
14,2
13,2
9,2
5,2
22,2
8,2
7,2
23,2
9,2
29,2
3,2
21,2
3,2
11,2
71,2
3,2
4,2
58,2
603,2
7,2
4,2
106,2
5,2
2,2
30,2
7,2
8,2
2,2
5,2
3,2
10,2
3,2
3,2
22,2
2,2
5,2
3,2
6,2
26,2
52,2
2,2
32,2
11,2
8,2
87,2
7,2
6,2
6,2
65,2
86,2
20,2
15,2
8,2
26,2
49,2
47,2
33,2
3,2
44,2
41,2
29,2
3,2
8,2
94,2
1637,2
358,2
86,2
227,2
7,2
17,2
14,2
234,2
109,2
19,2
15,2
3163,2
5,2
6,2
147,2
6,2
85,2
2,2
8,2
2,2
54,2
22,2
15,2
3,2
13,2
11,2
97,2
25,2
2,2
36,2
168,2
12,2
10,2
33,2
7,2
13,2
2,2
7,2
3,2
15,2
5,2
7,2
5,2
57,2
72,1
2,1
5,1
45,1
1,1
7,1
24,1
5,1
137,1
9,1
1,1
26,1
19,1
5,1
1,1
2,1
84,1
26,1
61,1
8,1
11,1
35,1
1,1
2,1
11,1
7,1
9,1
2,1
15,1
26,1
4,1
1,1
2,1
3,1
9,1
130,1
1,1
89,1
25,1
4,1
48,1
10,1
6,1
11,1
4,1
18,1
96,1
6,1
1,1
1,1
399,1
11,1
1,1
17,1
7,1
2,1
21,1
93,1
7,1
10,1
4,1
2,1
1,1
3,1
15,1
20,1
10,1
3,1
13,1
101,1
3,1
57,1
33,1
11,1
1,1
8,1
1,1
2,1
14,1
37,1
68,1
1,1
12,1
6,1
2,1
4,1
4,1
1,1
52,1
3,1
75,1
2,1
1,1
3,1
4,1
1,1
140,1
23,1
46,1
7,1
4,1
26,1
21,1
2,1
10,1
12,1
6,1
5,1
4,1
12,1
14,1
8,1
20,1
22,1
21,1
63,1
14,1
74,1
8,1
16,1
1,1
1,1
64,1
115,1
2,1
12,1
18,1
1,1
2,1
14,1
1,1
44,1
1,1
18,1
6,1
6,1
11,1
27,1
2,1
6,1
5,1
3,1
3,1
1,1
2,1
1,1
2,1
2,1
2,1
7,1
24,1
1,1
32,1
8,1
3,1
33,1
1,1
1,1
30,1
34,1
2,1
1,1
3,1
1,1
13,1
1,1
4,1
1,1
1,1
3,1
1,1
2,1
6,1
15,1
6,1
1,1
1,1
1,1
1,1
9,1
2,1
3,1
2,1
1,1
8,1
100,1
7,1
2,1
1,1
3,1
14,1
22,1
6,1
9,1
1,1
1,1
4,1
1,1
1,1
10,1
5,1
144,1
3,1
38,1
27,1
2,1
1,1
1,1
11,1
5,1
4,1
2,1
10,1
4,1
13,1
36,1
10,1
73,1
20,1
12,1
5,1
8,1
2,1
21,1
1,1
15,1
50,1
11,1
7,1
1,1
4,1
8,1
9,1
11,1
